JobId, User, Release, TagSet, Status, DataSet, Dir
226 gouskos CMSSW_5_2_5 V17-0 Processing /Photon/Run2012A-PromptReco-v1/AOD 2012_08_05_13_55_23
226 gouskos CMSSW_5_2_5 V17-0 Processing /SinglePhoton/Run2012B-PromptReco-v1/AOD 2012_08_05_13_55_23
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-0to5_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-1000to1400_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-120to170_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-1400to1800_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-15to30_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-170to300_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-1800_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-300to470_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-30to50_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-470to600_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-50to80_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-5to15_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-600to800_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-800to1000_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
246 clucas CMSSW_5_2_5 V17-0 Processing /QCD_Pt-80to120_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_07_03_11_15_20
