JobId, User, Release, TagSet, Status, DataSet, Dir
358 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /HT/Run2012A-13Jul2012-v1/AOD 2012_09_19_01_03_03
358 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /HTMHT/Run2012B-13Jul2012-v1/AOD 2012_09_19_01_03_03
358 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /JetHT/Run2012B-13Jul2012-v1/AOD 2012_09_19_01_03_03
358 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /Photon/Run2012A-13Jul2012-v1/AOD 2012_09_19_01_03_03
358 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SingleMu/Run2012A-13Jul2012-v1/AOD 2012_09_19_01_03_03
358 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SingleMu/Run2012B-13Jul2012-v1/AOD 2012_09_19_01_03_03
358 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SinglePhoton/Run2012B-13Jul2012-v1/AOD 2012_09_19_01_03_03
359 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /HT/Run2012A-recover-06Aug2012-v1/AOD 2012_09_19_01_25_46
359 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /Photon/Run2012A-recover-06Aug2012-v1/AOD 2012_09_19_01_25_46
359 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SingleMu/Run2012A-recover-06Aug2012-v1/AOD 2012_09_19_01_25_46
360 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /HTMHT/Run2012C-PromptReco-v2/AOD 2012_09_19_01_39_12
360 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /JetHT/Run2012C-PromptReco-v2/AOD 2012_09_19_01_39_12
360 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SingleMu/Run2012C-PromptReco-v2/AOD 2012_09_19_01_39_12
360 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SinglePhoton/Run2012C-PromptReco-v2/AOD 2012_09_19_01_39_12
361 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /HTMHT/Run2012C-24Aug2012-v1/AOD 2012_09_19_01_59_39
361 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /JetHT/Run2012C-24Aug2012-v1/AOD 2012_09_19_01_59_39
361 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SingleMu/Run2012C-24Aug2012-v1/AOD 2012_09_19_01_59_39
361 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SinglePhoton/Run2012C-24Aug2012-v1/AOD 2012_09_19_01_59_39
363 clucas CMSSW_5_3_3_patch2 V17-5 Processing /WJetsToLNu_HT-250To300_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_09_36_56
363 clucas CMSSW_5_3_3_patch2 V17-5 Processing /WJetsToLNu_HT-300To400_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_09_36_56
363 clucas CMSSW_5_3_3_patch2 V17-5 Processing /WJetsToLNu_HT-400ToInf_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_09_36_56
363 clucas CMSSW_5_3_3_patch2 V17-5 Processing /WJetsToLNu_TuneZ2Star_8TeV-madgraph-tarball/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_09_36_56
364 clucas CMSSW_5_3_3_patch2 V17-5 Processing /DYJetsToLL_HT-200To400_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_09_51_06
364 clucas CMSSW_5_3_3_patch2 V17-5 Processing /DYJetsToLL_HT-400ToInf_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_09_51_06
364 clucas CMSSW_5_3_3_patch2 V17-5 Processing /DYJetsToLL_M-10To50filter_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_09_51_06
364 clucas CMSSW_5_3_3_patch2 V17-5 Processing /DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_09_51_06
365 clucas CMSSW_5_3_3_patch2 V17-5 Processing  /ZJetsToNuNu_100_HT_200_TuneZ2Star_8TeV_madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_10_32_59
365 clucas CMSSW_5_3_3_patch2 V17-5 Processing /ZJetsToNuNu_100_HT_200_TuneZ2Star_8TeV_madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_10_32_59
365 clucas CMSSW_5_3_3_patch2 V17-5 Processing /ZJetsToNuNu_200_HT_400_TuneZ2Star_8TeV_madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_10_32_59
365 clucas CMSSW_5_3_3_patch2 V17-5 Processing /ZJetsToNuNu_400_HT_inf_TuneZ2Star_8TeV_madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_10_32_59
366 clucas CMSSW_5_3_3_patch2 V17-5 Processing /TTJets_MassiveBinDECAY_TuneZ2star_8TeV-madgraph-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_10_45_44
367 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /TTZJets_8TeV-madgraph_v2/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_16_38_35
368 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /T_s-channel_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_19_15
368 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /T_t-channel_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_19_15
368 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /T_tW-channel-DR_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_19_15
368 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /Tbar_s-channel_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_19_15
368 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /Tbar_t-channel_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_19_15
368 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /Tbar_tW-channel-DR_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_19_15
369 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /GJets_HT-200To400_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_32_00
369 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /GJets_HT-400ToInf_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_32_00
370 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /WW_TuneZ2star_8TeV_pythia6_tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_43_41
370 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /WZ_TuneZ2star_8TeV_pythia6_tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_43_41
